attraction_location,title,user_location,date_dataAccess,date_raw,year,month,day,lon_user_location,lat_user_location,City,Country
"Lalibela 1000, Ethiopia",A fascinating city of 800 year old rock cut churches,"Edinburgh, United Kingdom","December 22, 2017",2017-03-24,2017,3,24,-3.188267,55.953252,Edinburgh,United Kingdom
"Lalibela 1000, Ethiopia",Interesting architecture but overpriced,"Berlin, Germany","December 22, 2017",2017-03-18,2017,3,18,13.404954,52.52000659999999,Berlin,Germany
"Lalibela 1000, Ethiopia",Excellent,"Hertfordshire, United Kingdom","December 22, 2017",2017-03-14,2017,3,14,-0.2376744,51.80978229999999,Ayot Saint Peter,United Kingdom
"Lalibela 1000, Ethiopia","Amazing history, great experience","Rome, Italy","December 22, 2017",2017-03-06,2017,3,6,12.4963655,41.9027835,Roma,Italy
"Lalibela 1000, Ethiopia",One of the 7 World Wanders.,"Toronto, Canada","December 22, 2017",2017-03-06,2017,3,6,-79.3831843,43.653226,Toronto,Canada
"Lalibela 1000, Ethiopia",Must see,"Limassol, Cyprus","December 22, 2017",2017-03-05,2017,3,5,33.0226174,34.7071301,Limassol,Cyprus
"Lalibela 1000, Ethiopia",A little disappointed,Noosa Heads,"December 22, 2017",2017-03-04,2017,3,4,153.093,-26.398,Noosa Heads,Australia
"Lalibela 1000, Ethiopia",Scenes from the Holy Bible,"Ljubljana, Slovenia","December 22, 2017",2017-03-02,2017,3,2,14.5057515,46.0569465,Ljubljana,Slovenia
"Lalibela 1000, Ethiopia",There are so many rock hewn churches to see that husband got bored of taking off his shoes,Warwickshire,"December 22, 2017",2017-03-01,2017,3,1,-1.4675216,52.2671353,NA,United Kingdom
"Lalibela 1000, Ethiopia",A must see when in Lalibela,"Swindon, United Kingdom","December 22, 2017",2017-02-28,2017,2,28,-1.7797176,51.55577390000001,Swindon,United Kingdom
"Lalibela 1000, Ethiopia",Always New,"Addis Ababa, Ethiopia","December 22, 2017",2017-02-23,2017,2,23,38.7577605,8.9806034,Addis Ababa,Ethiopia
"Lalibela 1000, Ethiopia","What a charming place, Wow!!!","Berlin, Germany","December 22, 2017",2017-02-22,2017,2,22,13.404954,52.52000659999999,Berlin,Germany
"Lalibela 1000, Ethiopia",Thrilling and well preserved,Vancouver,"December 22, 2017",2017-02-21,2017,2,21,-123.1207375,49.2827291,Vancouver,Canada
"Lalibela 1000, Ethiopia",Amazing rock churches,Alaska,"December 22, 2017",2017-02-21,2017,2,21,-149.4936733,64.2008413,Healy,United States
"Lalibela 1000, Ethiopia",nothing comparable in the world,"Addis Ababa, Ethiopia","December 22, 2017",2017-02-19,2017,2,19,38.7577605,8.9806034,Addis Ababa,Ethiopia
"Lalibela 1000, Ethiopia",One of a kind.,"Elmhurst, Illinois","December 22, 2017",2017-02-18,2017,2,18,-87.9403418,41.8994744,Elmhurst,United States
"Lalibela 1000, Ethiopia",Brilliant hisoric site,England,"December 22, 2017",2017-02-15,2017,2,15,-1.1743197,52.3555177,Kilsby,United Kingdom
"Lalibela 1000, Ethiopia",Beautiful but expensive,cape town,"December 22, 2017",2017-02-15,2017,2,15,18.4240553,-33.9248685,Cape Town,South Africa
"Lalibela 1000, Ethiopia",Breath taking Churches,"Addis Ababa, Ethiopia","December 22, 2017",2017-02-07,2017,2,7,38.7577605,8.9806034,Addis Ababa,Ethiopia
"Lalibela 1000, Ethiopia",Lots of churches from the same period!,"Oslo, Norway","December 22, 2017",2017-02-06,2017,2,6,10.7522454,59.9138688,Oslo,Norway
"Lalibela 1000, Ethiopia",An Unbelievable Experience,Australia,"December 22, 2017",2017-02-05,2017,2,5,133.775136,-25.274398,Ghan,Australia
"Lalibela 1000, Ethiopia",Must see in person,"Hong Kong, China","December 22, 2017",2017-02-03,2017,2,3,114.109497,22.396428,NA,Hong Kong
"Lalibela 1000, Ethiopia",'The eighth Wonder',Addis Ababa,"December 22, 2017",2017-02-03,2017,2,3,38.7577605,8.9806034,Addis Ababa,Ethiopia
"Lalibela 1000, Ethiopia",absolutely amazing,"Singapore, Singapore","December 22, 2017",2017-02-01,2017,2,1,103.819836,1.352083,Singapore,Singapore
"Lalibela 1000, Ethiopia",A must see,"Da Lat, Vietnam","December 22, 2017",2017-01-25,2017,1,25,108.4583132,11.9404192,Thành phố Đà Lạt,Vietnam
"Lalibela 1000, Ethiopia",Lalibela is very spiritual - friendly people,"Berlin, Germany","December 22, 2017",2017-01-25,2017,1,25,13.404954,52.52000659999999,Berlin,Germany
"Lalibela 1000, Ethiopia",unique,"Antwerp, Belgium","December 22, 2017",2017-01-24,2017,1,24,4.4024643,51.2194475,Antwerpen,Belgium
"Lalibela 1000, Ethiopia",Ethiopian Christmas pilgrimage,"Miami, Florida","December 22, 2017",2017-01-22,2017,1,22,-80.1917902,25.7616798,Miami,United States
"Lalibela 1000, Ethiopia",Amazing,"Djibouti, Djibouti","December 22, 2017",2017-01-13,2017,1,13,42.590275,11.825138,NA,Djibouti
"Lalibela 1000, Ethiopia",historical labyrinth,"Antwerp, Belgium","December 22, 2017",2017-01-11,2017,1,11,4.4024643,51.2194475,Antwerpen,Belgium
"Lalibela 1000, Ethiopia",Excellent! Be wary of the Price and Guides however!,"Moscow, Russia","December 22, 2017",2017-01-10,2017,1,10,37.6172999,55.755826,Moskva,Russia
"Lalibela 1000, Ethiopia",Unbelievable Experience,"San Francisco, CA","December 22, 2017",2017-01-09,2017,1,9,-122.4194155,37.7749295,San Francisco,United States
"Lalibela 1000, Ethiopia",Amazing Experience,"Toronto, Canada","December 22, 2017",2017-01-09,2017,1,9,-79.3831843,43.653226,Toronto,Canada
"Lalibela 1000, Ethiopia",Not to be missed,"Atlanta, Georgia","December 22, 2017",2017-01-05,2017,1,5,-84.3879824,33.7489954,Atlanta,United States
"Lalibela 1000, Ethiopia",One of the coolest places I've ever been,"Nairobi, Kenya","December 22, 2017",2017-01-04,2017,1,4,36.8219462,-1.2920659,Nairobi,Kenya
"Lalibela 1000, Ethiopia",Incredible World Heritage Site,"Point Reyes Station, California, United States","December 22, 2017",2017-01-01,2017,1,1,-122.8069356,38.0690894,Point Reyes Station,United States
"Lalibela 1000, Ethiopia",St George the clear highlight,"Singapore, Singapore","December 22, 2017",2016-12-22,2016,12,22,103.819836,1.352083,Singapore,Singapore
"Lalibela 1000, Ethiopia",Great very important historic site declared as world heritage site by Unesco,"Herzliya, Israel","December 22, 2017",2016-12-19,2016,12,19,34.844675,32.162413,Herzliya,Israel
"Lalibela 1000, Ethiopia",Amazing Rock-Hewn Churches of Lalibela,"Toronto, Canada","December 22, 2017",2016-12-19,2016,12,19,-79.3831843,43.653226,Toronto,Canada
"Lalibela 1000, Ethiopia",More Fun Exploring,"Mount Shasta, California","December 22, 2017",2016-12-15,2016,12,15,-122.3105666,41.3098746,Mount Shasta,United States
"Lalibela 1000, Ethiopia",Unesco World Heritage site,Luxembourg,"December 22, 2017",2016-11-27,2016,11,27,6.129582999999999,49.815273,Schrondweiler,Luxembourg
"Lalibela 1000, Ethiopia",Rock-Hewn Churches outside Lalibela,"Byron Bay, Australia","December 22, 2017",2016-11-26,2016,11,26,153.601977,-28.6473671,Skinners Shoot,Australia
"Lalibela 1000, Ethiopia",Biggest attraction in Ethiopia,"Almere, The Netherlands","December 22, 2017",2016-11-26,2016,11,26,5.2647016,52.3507849,Almere,Netherlands
"Lalibela 1000, Ethiopia",Reason for going to Ethiopia,"Richmond, Canada","December 22, 2017",2016-11-19,2016,11,19,-123.133569,49.1665898,Richmond,Canada
"Lalibela 1000, Ethiopia","A ""must"" to visit!","Stockholm, Sweden","December 22, 2017",2016-11-16,2016,11,16,18.0685808,59.32932349999999,Stockholm,Sweden
"Lalibela 1000, Ethiopia","A marvel of ecclesiastical architecture, visited with guide Ayalew Setegn","Thusis, Switzerland","December 22, 2017",2016-11-14,2016,11,14,9.439494,46.6960141,Thusis,Switzerland
"Lalibela 1000, Ethiopia",WOW,California,"December 22, 2017",2016-11-03,2016,11,3,-119.4179324,36.778261,Sanger,United States
"Lalibela 1000, Ethiopia","Awesome, is a must see.","London, United Kingdom","December 22, 2017",2016-11-02,2016,11,2,-0.1277583,51.5073509,London,United Kingdom
"Lalibela 1000, Ethiopia",Very interesting. Don t pay extra for a guide.,"London, United Kingdom","December 22, 2017",2016-11-01,2016,11,1,-0.1277583,51.5073509,London,United Kingdom
"Lalibela 1000, Ethiopia",Incredible,"York, United Kingdom","December 22, 2017",2016-10-27,2016,10,27,-1.0872979,53.95996510000001,York,United Kingdom
"Lalibela 1000, Ethiopia",Amazing history and architecture,"Shaka's Rock, South Africa","December 22, 2017",2016-10-25,2016,10,25,31.2275802,-29.51782469999999,Dolphin Coast,South Africa
"Lalibela 1000, Ethiopia",Wonderful creations,"Aarschot, Belgium","December 22, 2017",2016-10-25,2016,10,25,4.8365218,50.9859959,Aarschot,Belgium
"Lalibela 1000, Ethiopia",tunnels and more tunnels,"Ilkley, United Kingdom","December 22, 2017",2016-10-22,2016,10,22,-1.822817,53.925486,Ilkley,United Kingdom
"Lalibela 1000, Ethiopia",worths any effort,"Tel Aviv, Israel","December 22, 2017",2016-10-18,2016,10,18,34.78176759999999,32.0852999,Tel Aviv-Yafo,Israel
"Lalibela 1000, Ethiopia",Amezing,Miami,"December 22, 2017",2016-10-17,2016,10,17,-80.1917902,25.7616798,Miami,United States
"Lalibela 1000, Ethiopia",Prepare to get spiritual,"Sydney, Australia","December 22, 2017",2016-10-15,2016,10,15,151.2092955,-33.8688197,Sydney,Australia
"Lalibela 1000, Ethiopia",wow,"London, United Kingdom","December 22, 2017",2016-10-12,2016,10,12,-0.1277583,51.5073509,London,United Kingdom
"Lalibela 1000, Ethiopia",Internationally unique,"Montevideo, Uruguay","December 22, 2017",2016-10-10,2016,10,10,-56.16453139999999,-34.9011127,Montevideo,Uruguay
"Lalibela 1000, Ethiopia",Amazing history!,"Cape Town, South Africa","December 22, 2017",2016-10-03,2016,10,3,18.4240553,-33.9248685,Cape Town,South Africa
"Lalibela 1000, Ethiopia",Great Trip to the Rock Churches,Everywhere,"December 22, 2017",2016-09-27,2016,9,27,-71.06040879999999,42.3565903,Boston,United States
"Lalibela 1000, Ethiopia",African gem,"Ludhiana, India","December 22, 2017",2016-09-26,2016,9,26,75.8572758,30.900965,Ludhiana,India
"Lalibela 1000, Ethiopia",Wonderful but flea ridden,"Accra, Ghana","December 22, 2017",2016-09-21,2016,9,21,-0.1869644,5.6037168,Accra,Ghana
"Lalibela 1000, Ethiopia",Fascinating Visit to the Rock Hewn Churches of Lalibela,Singapore,"December 22, 2017",2016-09-17,2016,9,17,103.819836,1.352083,Singapore,Singapore
"Lalibela 1000, Ethiopia",Breathtaking,"Middlesbrough, United Kingdom","December 22, 2017",2016-09-15,2016,9,15,-1.234956,54.574227,Middlesbrough,United Kingdom
"Lalibela 1000, Ethiopia",Stunning,Trousvierges,"December 22, 2017",2016-09-11,2016,9,11,6.0017026,50.1220148,Troisvierges,Luxembourg
"Lalibela 1000, Ethiopia",Lalibela Rock-Hewn Churches are Simply Beautiful,"Los Angeles, California","December 22, 2017",2016-09-06,2016,9,6,-118.2436849,34.0522342,Los Angeles,United States
"Lalibela 1000, Ethiopia",It should be visited once in a life time!,"Addis Ababa, Ethiopia","December 22, 2017",2016-09-04,2016,9,4,38.7577605,8.9806034,Addis Ababa,Ethiopia
"Lalibela 1000, Ethiopia",Absolutely Fantastic Destination,"Grand Rapids, Michigan","December 22, 2017",2016-08-31,2016,8,31,-85.6680863,42.9633599,Grand Rapids,United States
"Lalibela 1000, Ethiopia",unbelievable churches..,"Cambridgeshire, United Kingdom","December 22, 2017",2016-08-29,2016,8,29,0.1218195,52.2052973,Cambridge,United Kingdom
"Lalibela 1000, Ethiopia",Awe inspiring,"Toronto, Canada","December 22, 2017",2016-08-27,2016,8,27,-79.3831843,43.653226,Toronto,Canada
"Lalibela 1000, Ethiopia",Miracle but....very expenive and people in a total misery!!!!,"Athens, Greece","December 22, 2017",2016-08-27,2016,8,27,23.7275388,37.9838096,Athina,Greece
"Lalibela 1000, Ethiopia",An amazing experience,"Lisbon, Portugal","December 22, 2017",2016-08-25,2016,8,25,-9.1393366,38.7222524,Lisboa,Portugal
"Lalibela 1000, Ethiopia",Stunning heritage site,"Sao Paulo, SP","December 22, 2017",2016-08-22,2016,8,22,-46.63330939999999,-23.5505199,São Paulo,Brazil
"Lalibela 1000, Ethiopia",Beautiful experience,Ilkley,"December 22, 2017",2016-08-21,2016,8,21,-1.822817,53.925486,Ilkley,United Kingdom
"Lalibela 1000, Ethiopia",Its a must see!,somalia,"December 22, 2017",2016-08-21,2016,8,21,46.199616,5.152149,NA,Somalia
"Lalibela 1000, Ethiopia",Explore ancient wonders like Indiana Jones,"London, United Kingdom","December 22, 2017",2016-08-21,2016,8,21,-0.1277583,51.5073509,London,United Kingdom
"Lalibela 1000, Ethiopia",Stunning,Herts,"December 22, 2017",2016-08-17,2016,8,17,-95.99317579999999,36.7525914,Bartlesville,United States
"Lalibela 1000, Ethiopia",I visit the churches with every visit to Laibela.,"North Charleston, South Carolina","December 22, 2017",2016-08-07,2016,8,7,-79.9748103,32.8546197,North Charleston,United States
"Lalibela 1000, Ethiopia",Never Before seen such monolithic structures!,"Ludhiana, India","December 22, 2017",2016-08-02,2016,8,2,75.8572758,30.900965,Ludhiana,India
"Lalibela 1000, Ethiopia",A world class wonder,"Liverpool, United Kingdom","December 22, 2017",2016-07-31,2016,7,31,-2.9915726,53.4083714,Liverpool,United Kingdom
"Lalibela 1000, Ethiopia",Daniel a great guide,"Oxford, United Kingdom","December 22, 2017",2016-07-31,2016,7,31,-1.2577263,51.7520209,Oxford,United Kingdom
"Lalibela 1000, Ethiopia",A must see,there,"December 22, 2017",2016-07-30,2016,7,30,-94.5859969,39.0811274,Kansas City,United States
"Lalibela 1000, Ethiopia",Impressive and excellent tour guide,"Erkelenz, Germany","December 22, 2017",2016-07-26,2016,7,26,6.315906999999999,51.0784539,Erkelenz,Germany
"Lalibela 1000, Ethiopia",Africa's Jerusalem,"Munich, Germany","December 22, 2017",2016-07-24,2016,7,24,11.5819805,48.1351253,München,Germany
"Lalibela 1000, Ethiopia",Eighth Wonder of the World type place,"Puyallup, Washington","December 22, 2017",2016-07-23,2016,7,23,-122.2928974,47.1853785,Puyallup,United States
"Lalibela 1000, Ethiopia","Fantastic, a dreamed attraction","Barcelona, Spain","December 22, 2017",2016-07-18,2016,7,18,2.1734035,41.3850639,Barcelona,Spain
"Lalibela 1000, Ethiopia",Out of this world,"Nairobi, Kenya","December 22, 2017",2016-07-16,2016,7,16,36.8219462,-1.2920659,Nairobi,Kenya
"Lalibela 1000, Ethiopia",You will forever be grateful for this experience,Abu Dhabi,"December 22, 2017",2016-07-13,2016,7,13,54.3773438,24.453884,Abu Dhabi,United Arab Emirates
"Lalibela 1000, Ethiopia",IT WAS BREATH TAKING MOMENT !!!!!,"Addis Ababa, Ethiopia","December 22, 2017",2016-07-08,2016,7,8,38.7577605,8.9806034,Addis Ababa,Ethiopia
"Lalibela 1000, Ethiopia",Amazing,France,"December 22, 2017",2016-07-02,2016,7,2,2.213749,46.227638,Courtabœuf Cedex,France
"Lalibela 1000, Ethiopia",A privilege to experience,Australia,"December 22, 2017",2016-06-22,2016,6,22,133.775136,-25.274398,Ghan,Australia
"Lalibela 1000, Ethiopia",Unbelievable.,"Bloomington, Illinois","December 22, 2017",2016-06-21,2016,6,21,-88.99368729999999,40.4842027,Bloomington,United States
"Lalibela 1000, Ethiopia",Visit it before it becomes a place of mass tourism,"Varazdin, Croatia","December 22, 2017",2016-06-18,2016,6,18,16.3366066,46.305746,Varaždin,Croatia
"Lalibela 1000, Ethiopia",Historic Tour in Habesha- Labella Town,Beaumaris,"December 22, 2017",2016-06-11,2016,6,11,-4.09199,53.265865,Beaumaris,United Kingdom
"Lalibela 1000, Ethiopia",Really amazing site....,"Accra, Ghana","December 22, 2017",2016-06-05,2016,6,5,-0.1869644,5.6037168,Accra,Ghana
"Lalibela 1000, Ethiopia","""Girma Derbie and a white shawl""","Birmingham, Alabama","December 22, 2017",2016-06-03,2016,6,3,-86.80248999999999,33.5206608,Birmingham,United States
"Lalibela 1000, Ethiopia",A must ...amazing atmosphere and the churches are fascinating lost in time but so real the highliht of my visit to Ethio,"Letchworth, United Kingdom","December 22, 2017",2016-05-26,2016,5,26,-0.226624,51.979074,Letchworth Garden City,United Kingdom
"Lalibela 1000, Ethiopia",Amazing!,"London, United Kingdom","December 22, 2017",2016-05-24,2016,5,24,-0.1277583,51.5073509,London,United Kingdom
"Lalibela 1000, Ethiopia",An Outstanding Experience,"Edmonton, Canada","December 22, 2017",2016-05-23,2016,5,23,-113.4909267,53.544389,Edmonton,Canada
"Lalibela 1000, Ethiopia",Magical,"Washington DC, District of Columbia","December 22, 2017",2016-05-23,2016,5,23,-77.0368707,38.9071923,Washington,United States
"Lalibela 1000, Ethiopia",The highlight of any Ethiopia trip,UAE,"December 22, 2017",2016-05-22,2016,5,22,53.847818,23.424076,NA,United Arab Emirates
"Lalibela 1000, Ethiopia",WOW!,"Belvedere, California","December 22, 2017",2016-05-16,2016,5,16,-122.4644171,37.8727044,Belvedere,United States
"Lalibela 1000, Ethiopia",Worth visiting and unique but lacking atmosphere,"Dubai, United Arab Emirates","December 22, 2017",2016-05-15,2016,5,15,55.2707828,25.2048493,Dubai,United Arab Emirates
"Lalibela 1000, Ethiopia",Asbolutely out of this world...,"Abu Dhabi, United Arab Emirates","December 22, 2017",2016-05-13,2016,5,13,54.3773438,24.453884,Abu Dhabi,United Arab Emirates
"Lalibela 1000, Ethiopia",An engineering and cultural feat!,"San Diego, California","December 22, 2017",2016-05-12,2016,5,12,-117.1610838,32.715738,San Diego,United States
"Lalibela 1000, Ethiopia",A Time Capsule,"Washington DC, District of Columbia","December 22, 2017",2016-05-11,2016,5,11,-77.0368707,38.9071923,Washington,United States
"Lalibela 1000, Ethiopia",A very special site in Africa,Johannesburg,"December 22, 2017",2016-05-10,2016,5,10,28.0473051,-26.2041028,Johannesburg,South Africa
"Lalibela 1000, Ethiopia",Just absolutely amazing!,South East London,"December 22, 2017",2016-05-06,2016,5,6,-0.1277583,51.5073509,London,United Kingdom
"Lalibela 1000, Ethiopia",Always amazing,Kent UK,"December 22, 2017",2016-05-04,2016,5,4,0.5217254000000001,51.2787075,Maidstone,United Kingdom
"Lalibela 1000, Ethiopia",amazing place!!,"Belgrade, Serbia","December 22, 2017",2016-05-03,2016,5,3,20.4489216,44.786568,Beograd,Serbia
"Lalibela 1000, Ethiopia",very nice rock good city laibela,"Western Australia, Australia","December 22, 2017",2016-05-01,2016,5,1,121.6283098,-27.6728168,Lake Darlot,Australia
"Lalibela 1000, Ethiopia",AMAZING!,"Pretoria, SA","December 22, 2017",2016-04-28,2016,4,28,28.2292712,-25.7478676,Pretoria,South Africa
"Lalibela 1000, Ethiopia",Exceeded my expectations,"Belfast, Maine","December 22, 2017",2016-04-25,2016,4,25,-69.0064234,44.4259092,Belfast,United States
"Lalibela 1000, Ethiopia",The rock-hewn churches are truly amazing.,"Vancouver, Canada","December 22, 2017",2016-04-24,2016,4,24,-123.1207375,49.2827291,Vancouver,Canada
"Lalibela 1000, Ethiopia",Amazing and beautiful,"Nairobi, Nairobi, Kenya","December 22, 2017",2016-04-20,2016,4,20,36.8219462,-1.2920659,Nairobi,Kenya
"Lalibela 1000, Ethiopia",Fascinating,"Lancaster, United Kingdom","December 22, 2017",2016-04-20,2016,4,20,-2.8007399,54.046575,Lancaster,United Kingdom
"Lalibela 1000, Ethiopia",Up there with the Taj Mahal and the Pyramids,"Sturminster Marshall, United Kingdom","December 22, 2017",2016-04-19,2016,4,19,-2.0736093,50.7966711,Sturminster Marshall,United Kingdom
"Lalibela 1000, Ethiopia",Not to be missed,"London, United Kingdom","December 22, 2017",2016-04-18,2016,4,18,-0.1277583,51.5073509,London,United Kingdom
"Lalibela 1000, Ethiopia",A must to see @least once in life-time,Austria,"December 22, 2017",2016-04-17,2016,4,17,14.550072,47.516231,NA,Austria
"Lalibela 1000, Ethiopia",Lalibela churches and more,"New York City, New York","December 22, 2017",2016-04-11,2016,4,11,-74.0059728,40.7127753,New York,United States
"Lalibela 1000, Ethiopia",Spectacular,"Washington DC, District of Columbia","December 22, 2017",2016-04-07,2016,4,7,-77.0368707,38.9071923,Washington,United States
"Lalibela 1000, Ethiopia",Worth the Effort to Get There!,"Middleburg, Virginia","December 22, 2017",2016-04-06,2016,4,6,-77.7355496,38.9687211,Middleburg,United States
"Lalibela 1000, Ethiopia",Amazing site and not as many tourist as you would expect,"Frankfurt, Germany","December 22, 2017",2016-04-06,2016,4,6,8.6821267,50.1109221,Frankfurt am Main,Germany
"Lalibela 1000, Ethiopia",Lalibela,Swaziland,"December 22, 2017",2016-04-06,2016,4,6,31.465866,-26.522503,NA,Swaziland
"Lalibela 1000, Ethiopia",A two day must both for the churches and surrounding area,"London,Ontario","December 22, 2017",2016-04-05,2016,4,5,-81.2452768,42.9849233,London,Canada
"Lalibela 1000, Ethiopia",Fantastic Experience!,virginia,"December 22, 2017",2016-04-04,2016,4,4,-78.6568942,37.4315734,Dillwyn,United States
"Lalibela 1000, Ethiopia",The Highlight of Our 9-Day Northern Tour,"Greensboro, North Carolina","December 22, 2017",2016-04-04,2016,4,4,-79.7919754,36.0726354,Greensboro,United States
